"source","binder_pdf_page_number","year","month","day","arrival_time","observer","lek_name","trapping_activity","wind_mph","cloud_cover_percent_comments","snowing_status","raining_status","temp_f","other_weather_conditions","lek_ground_condition","predator_disturbance_type","predator_disturbance_time","type","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","age","observation_time","sunrise_time","time_start","time_end","num_of_struts","struts_5_min","distance_to_hens_category","distance_to_hens_notes","fights","num_of_copulations","breed","malaria","lice","other_fights_and_comments"
"binder","61","1990",3,30,"5:45","White/Frieson","north","none","0 to 5","100","no","no","~25",NA,"snow particles",NA,NA,"strut","orange",NA,NA,NA,NA,NA,NA,NA,"5:49","6:34","6:39",6,6,"3",NA,"w/ UM - standoff",NA,NA,NA,NA,NA
"binder","62","1990",4,4,"6:31","White","north","none","0","1","no","no","35",NA,"clear","prairie (?) falcon, ?","7:08, 7:40","strut","green",NA,NA,"blue","1620","B1620",NA,NA,"6:54","6:43","6:53",28,14,"1",NA,"Hens walking by, UM male to GB",NA,NA,NA,NA,"Left 7:54 - (?) center of lek, hen cluster on both sides of road. 7: 07 - all male go down, 7:06 - some male go up, 7:15 - all birds down - up to strut at 7:20, 7:36 - (?), all birds go down"
"binder, floppy","62","1990",4,4,"6:31","White","north","none","0","1","no","no","35",NA,"clear","prairie (?) falcon, ?","7:08, 7:40","strut","white","660","W660","yellow","1113","Y1113","adult",NA,"6:54","6:54","6:59",39,39,"1",NA,NA,NA,"no",NA,NA,"Left 7:54 - (?) center of lek, hen cluster on both sides of road. 7: 07 - all male go down, 7:06 - some male go up, 7:15 - all birds down - up to strut at 7:20, 7:36 - (?), all birds go down"
"binder, floppy","62","1990",4,4,"6:31","White","north","none","0","1","no","no","35",NA,"clear","prairie (?) falcon, ?","7:08, 7:40","strut","red","1752","R1752","blue","1624","B1624","adult",NA,"6:54","7:30","7:35",15,15,"3",NA,"Chased off juvenile",NA,"no",NA,NA,"Left 7:54 - (?) center of lek, hen cluster on both sides of road. 7: 07 - all male go down, 7:06 - some male go up, 7:15 - all birds down - up to strut at 7:20, 7:36 - (?), all birds go down"
"binder","63","1990",4,5,"7:03","White","north","spotlight","8","100","yes",NA,NA,"Snow and wind","snow covered",NA,NA,"strut","green",NA,NA,"red",NA,NA,NA,NA,"6:45","7:00","7:05",21,21,"2",NA,NA,NA,NA,NA,NA,"Left 8:00. 7:15 - coyotes howled, birds not disturbed"
"binder, floppy","63","1990",4,5,"7:03","White","north","spotlight","8","100","yes",NA,NA,"Snow and wind","snow covered",NA,NA,"strut","white","660","W660","yellow","1113","Y1113","adult",NA,"6:45","7:21","7:26",31,31,"1",NA,NA,NA,"no",NA,NA,"Left 8:00. 7:15 - coyotes howled, birds not disturbed"
"binder, floppy","63","1990",4,5,"7:03","White","north","spotlight","8","100","yes",NA,NA,"Snow and wind","snow covered",NA,NA,"strut","blue","285","B285","blue","279","B279","adult",NA,"6:45","7:30","7:35",0,0,"3",NA,NA,NA,"no","yes",NA,"Left 8:00. 7:15 - coyotes howled, birds not disturbed"
"binder, floppy","63","1990",4,5,"7:03","White","north","spotlight","8","100","yes",NA,NA,"Snow and wind","snow covered",NA,NA,"strut","red","1752","R1752","blue","1624","B1624","adult",NA,"6:45","7:36","7:41",0,0,"3",NA,NA,NA,"no",NA,NA,"Left 8:00. 7:15 - coyotes howled, birds not disturbed"
"binder, floppy","63","1990",4,5,"7:03","White","north","spotlight","8","100","yes",NA,NA,"Snow and wind","snow covered",NA,NA,"strut","blue","1666","B1666","yellow","1267","Y1267","adult",NA,"6:45","7:36","7:41",0,0,"3",NA,NA,NA,"no","no","no","Left 8:00. 7:15 - coyotes howled, birds not disturbed"
"binder","63","1990",4,5,"7:03","White","north","spotlight","8","100","yes",NA,NA,"Snow and wind","snow covered",NA,NA,"copulation","unmarked",NA,NA,NA,NA,NA,NA,NA,"6:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left 8:00. 7:15 - coyotes howled, birds not disturbed"
"binder, floppy","63","1990",4,5,"7:03","White","north","spotlight","8","100","yes",NA,NA,"Snow and wind","snow covered",NA,NA,"strut","green","1558","G1558","yellow","1248","Y1248","adult",NA,"6:45","7:44","7:46",30,30,"1",NA,NA,NA,"no","yes","no","Left 8:00. 7:15 - coyotes howled, birds not disturbed"
"binder","63","1990",4,5,"7:03","White","north","spotlight","8","100","yes",NA,NA,"Snow and wind","snow covered",NA,NA,"copulation","unmarked",NA,NA,NA,NA,NA,NA,NA,"6:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left 8:00. 7:15 - coyotes howled, birds not disturbed"
"binder, floppy","65","1990",4,7,NA,"White/Spencer","north","spotlight","calm","0","no","no","~25",NA,"clear",NA,NA,"strut","green","1593","G1593","red","1710","R1710","adult",NA,"6:52","6:34","6:39",36,36,"1",NA,NA,NA,"no","yes","no","Both side of road - male 28struts/5min on NE side by 17 female. By 7:40 most hens had left.Stopped observations at 7:52."
"binder","65","1990",4,7,NA,"White/Spencer","north","spotlight","calm","0","no","no","~25",NA,"clear",NA,NA,"copulation",NA,NA,NA,NA,NA,NA,NA,NA,"6:52",NA,NA,NA,NA,NA,NA,NA,3,"yes",NA,NA,"Both side of road - male 28struts/5min on NE side by 17 female. By 7:40 most hens had left.Stopped observations at 7:52."
"binder, floppy","65","1990",4,7,NA,"White/Spencer","north","spotlight","calm","0","no","no","~25",NA,"clear",NA,NA,"strut","white","660","W660","yellow","1113","Y1113","adult",NA,"6:52","6:35","6:40",39,39,"1","hens passing by",NA,NA,"no",NA,NA,"Both side of road - male 28struts/5min on NE side by 17 female. By 7:40 most hens had left.Stopped observations at 7:52."
"binder, floppy","65","1990",4,7,NA,"White/Spencer","north","spotlight","calm","0","no","no","~25",NA,"clear",NA,NA,"strut","orange","1384","O1384","yellow","1251","Y1251","adult",NA,"6:52","6:42","6:47",27,27,"1",NA,NA,NA,"no","no","no","Both side of road - male 28struts/5min on NE side by 17 female. By 7:40 most hens had left.Stopped observations at 7:52."
